,team,Manager,Price,28_Pts,29_Pts,30_Pts,31_Pts,32_Pts,33_Pts,34_Pts,35_Pts
768,MUN,Amorim,0.8,6.79,6.37,8.45,7.64,6.95,8.07,4.6,5.0
769,FUL,Silva,1.1,3.94,5.98,4.69,6.62,4.86,9.67,2.65,4.22
770,IPS,McKenna,0.5,5.1,8.42,4.93,4.52,3.32,4.3,4.57,3.87
771,LIV,Slot,1.5,9.92,0.0,7.99,6.58,8.57,8.57,8.7,5.35
772,ARS,Arteta,1.5,6.36,6.18,7.28,6.38,7.72,10.36,4.13,7.34
773,WOL,Pereira,0.8,4.96,5.74,5.74,5.22,6.42,4.3,6.7,4.33
774,EVE,Moyes,0.5,4.67,5.54,4.16,6.56,7.9,7.09,5.41,6.53
775,BHA,Hurzeler,1.1,5.91,4.04,5.92,4.6,7.97,7.7,2.81,6.5
776,NEW,Howe,1.5,5.49,0.0,6.7,6.79,12.36,4.67,7.92,4.35
777,SOU,JuriÄ‡,0.5,2.13,4.07,6.59,4.65,6.77,8.09,3.01,4.08
778,NFO,Nuno,1.1,3.87,5.53,5.56,4.12,5.75,4.66,3.51,4.71
779,BOU,Iraola,1.1,4.92,6.2,7.66,5.29,5.9,6.09,3.95,4.14
780,WHU,Potter,0.5,8.86,4.07,4.25,9.01,3.49,8.97,2.27,5.45
781,AVL,Emery,0.8,4.64,0.0,4.37,9.74,6.61,11.03,0.46,5.96
782,BRE,Frank,0.8,5.48,4.95,4.36,7.68,4.67,7.15,4.33,6.46
783,CRY,Glasner,0.8,7.44,0.0,6.59,7.37,11.89,10.31,2.98,9.77
784,CHE,Maresca,1.5,8.94,3.62,7.6,6.06,8.74,5.62,7.22,5.55
785,MCI,Guardiola,1.5,6.15,7.13,9.3,6.22,7.11,12.09,0.61,8.12
786,LEI,van Nistelrooy,0.5,3.14,4.92,2.74,6.46,4.4,3.52,3.21,5.79
787,TOT,Postecoglou,1.1,10.71,6.07,5.5,7.84,4.86,10.59,3.76,4.92
